DATE;ACTIVITY TYPE;ACTIVITY NAME;DEBIT;DEBIT CURRENCY;CREDIT;CREDIT CURRENCY;CARD NUMBER;LOCALITY;RECIPIENT;SENDER;FEES/COMMISSION;BUY/SELL;QUANTITY;ASSET;PRICE PER UNIT
15/01/2024;PAYMENT_TRANSACTION_IN;"""Transfer from Demo User""";;;3000.00;CHF;;;;"""Demo User""";0;;;;
15/01/2024;INVEST_ORDER_EXECUTED;"""1.5625x Nasdaq 100 (Invesco EQQQ Nasdaq 100 Acc)""";-500.95;CHF;;;;;;;0.95;BUY;1.5625;EQCH;320.00
15/01/2024;REWARD_RECEIVED;"""Investing bonus""";;;;;;;;;;;5;SWQ;
15/01/2024;INVEST_ORDER_EXECUTED;"""4.0984x Switzerland SMI (iShares SMI)""";-500.75;CHF;;;;;;;0.75;BUY;4.0984;CSSMI;122.00
15/01/2024;REWARD_RECEIVED;"""Investing bonus""";;;;;;;;;;;5;SWQ;
20/01/2024;INVEST_ORDER_EXECUTED;"""22.2222x Gold (Swisscanto Gold)""";-400.80;CHF;;;;;;;0.80;BUY;22.2222;IGLD;18.00
20/01/2024;REWARD_RECEIVED;"""Investing bonus""";;;;;;;;;;;5;SWQ;
01/02/2024;REWARD_RECEIVED;"""Card bonus""";;;;;;;;;;;1;SWQ;
01/02/2024;REWARD_RECEIVED;"""Card bonus""";;;;;;;;;;;1;SWQ;
05/02/2024;PAYMENT_TRANSACTION_IN;"""Transfer from Demo User""";;;2000.00;CHF;;;;"""Demo User""";0;;;;
05/02/2024;INVEST_ORDER_EXECUTED;"""100.0000x Silver (Swisscanto Silver)""";-450.75;CHF;;;;;;;0.75;BUY;100.0000;CSIL;4.50
05/02/2024;REWARD_RECEIVED;"""Investing bonus""";;;;;;;;;;;5;SWQ;
10/02/2024;REWARD_RECEIVED;"""Card bonus""";;;;;;;;;;;1;SWQ;
10/02/2024;REWARD_RECEIVED;"""Card bonus""";;;;;;;;;;;1;SWQ;
01/03/2024;PAYMENT_TRANSACTION_IN;"""Transfer from Demo User""";;;1500.00;CHF;;;;"""Demo User""";0;;;;
01/03/2024;INVEST_ORDER_EXECUTED;"""1.4286x Nasdaq 100 (Invesco EQQQ Nasdaq 100 Acc)""";-500.95;CHF;;;;;;;0.95;BUY;1.4286;EQCH;350.00
01/03/2024;REWARD_RECEIVED;"""Investing bonus""";;;;;;;;;;;5;SWQ;
01/03/2024;INVEST_ORDER_EXECUTED;"""4.0323x Switzerland SMI (iShares SMI)""";-500.75;CHF;;;;;;;0.75;BUY;4.0323;CSSMI;124.00
01/03/2024;REWARD_RECEIVED;"""Investing bonus""";;;;;;;;;;;5;SWQ;
15/03/2024;REWARD_RECEIVED;"""Card bonus""";;;;;;;;;;;1;SWQ;
01/04/2024;INVEST_ORDER_EXECUTED;"""13.3333x Gold (Swisscanto Gold)""";-300.60;CHF;;;;;;;0.60;BUY;13.3333;IGLD;22.50
